date,seed,verifiedBy,moves,score
2026-06-11,12407240932544791958,gh,70,3169
2026-06-12,11045541962471380163,gh,70,4088
2026-06-13,6812971787588447752,gh,70,3723
2026-06-14,5923102201015695493,gh,70,4337
2026-06-15,5335338714060459010,gh-r5,70,4043
2026-06-16,10851003353053248479,gh-r2,70,3752
2026-06-17,7436903619719271172,gh,70,3583
2026-06-18,18409701524035729425,gh-r12,70,3959
2026-06-19,428638447920135054,gh,70,4255
2026-06-20,17016842412517576874,gh-r1,70,4087
2026-06-21,909800884551831821,gh-r5,70,4004
2026-06-22,87907074965209132,gh-r11,70,3212
2026-06-23,12730511650087642247,gh,70,4211
2026-06-24,17801616695802393182,gh-r8,70,4212
2026-06-25,16201213313859536865,gc,70,3006
2026-06-26,3408818860989602512,gh,70,3262
2026-06-27,10106373350467767947,gh-r1,70,3186
2026-06-28,5658902567648442514,gh-r1,70,3675
2026-06-29,10586896275004698517,gh-r2,70,3920
2026-06-30,1550686579903680727,gh,70,4339
2026-07-01,14616780187595709194,gh,70,3628
2026-07-02,17621025868468538087,gc,70,3220
2026-07-03,11959403526408796556,gh-r3,70,3595
2026-07-04,1507491931768670913,gh-r3,70,4344
2026-07-05,10692948216946455230,gc,70,3760
2026-07-06,2721888011387805419,gc,70,3686
2026-07-07,13089739260903118512,gh-r1,70,3305
2026-07-08,14546670417896703349,gh,70,3256
2026-07-09,16406223354926158706,gh,70,4296
2026-07-10,306285694389342824,gh-r3,70,3748
2026-07-11,8105796684046444067,gh,70,4251
2026-07-12,13017485436927657206,gh-r1,70,4421
2026-07-13,4971429210507767929,gh-r10,70,3710
2026-07-14,14631845637800105316,gh,70,2901
2026-07-15,10269950313722730047,gh-r1,70,3212
2026-07-16,2523541693024493922,gc,70,3637
2026-07-17,4939278766252106213,gh-r4,70,3252
2026-07-18,14439306649927055712,gh,70,4129
2026-07-19,813010263537639387,gh,70,3636
2026-07-20,17364950628065735819,gc,70,3714
2026-07-21,10667396138587570384,gh-r1,70,3715
2026-07-22,5013046517747953121,gh,70,3623
2026-07-23,6613449899690809438,gh,70,4051
2026-07-24,1542344853976058503,gh-r1,70,3301
2026-07-25,7346484352563177004,gh-r1,70,4334
